Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,Santa Clara, California,United States,,1090872,0,55405517.22
AAL,American Airlines Group,reports,Industrials,Airlines,Fort Worth, Texas,United States,3/23/2015,6201,1,209871545.5
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,Roanoke, Virginia,United States,7/9/2015,1158449,1,82750413.55
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,Cupertino, California,United States,11/30/1982,320193,1,3542505266
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,North Chicago, Illinois,United States,12/31/2012,1551152,1,375669898
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania,United States,,1140859,1,108488627.8
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,North Chicago, Illinois,United States,3/31/1964,1800,1,401215496
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,Dublin,NA,Ireland,7/6/2011,1467373,0,203747629.8
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,San Jose, California,United States,5/5/1997,796343,1,214043338.8
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,Norwood, Massachusetts,United States,,6281,1,127702275.3
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,Decatur, Illinois,United States,7/29/1981,7084,1,114535855
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,Roseland, New Jersey,United States,3/31/1981,8670,0,206423350
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,Plano, Texas,United States,12/23/2013,1101215,1,77392950
ADSK,Autodesk Inc,reports,Information Technology,Application Software,San Rafael, California,United States,12/1/1989,769397,1,113205699.1
AEE,Ameren Corp,reports,Utilities,MultiUtilities,St. Louis, Missouri,United States,9/19/1991,1002910,1,49873721.05
AEP,American Electric Power,reports,Utilities,Electric Utilities,Columbus, Ohio,United States,,4904,1,105583918.3
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,United States,,874761,0,37709224
AET,Aetna Inc,reports,Health Care,Managed Health Care,Hartford, Connecticut,United States,6/30/1976,1122304,0,196940284.2
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,Columbus, Georgia,United States,,4977,1,83095437.61
AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,Dublin,NA,Ireland,,884629,0,833319660.2
AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,New York, New York,United States,3/31/1980,5272,1,275523288.6
AIV,Apartment Investment & Mgmt,reports,Real Estate,REITs,Denver, Colorado,United States,,922864,1,62761906.38
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,New York, New York,United States,4/10/2007,1267238,1,26725108.29
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,Itasca, Illinois,United States,5/31/2016,354190,1,63365218.78
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,Cambridge, Massachusetts,United States,7/12/2007,1086222,1,64439552
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,Baton Rouge, Louisiana,United States,7/1/2016,915913,1,38701568.9
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,Seattle, Washington,United States,5/13/2016,766421,1,82607632.79
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,Northfield Township, Illinois,United States,,899051,1,126411665.1
ALLE,Allegion,reports,Industrials,Building Products,Dublin,NA,Ireland,12/2/2013,1579241,1,32115200
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,Cheshire, Connecticut,United States,5/25/2012,899866,1,174703562.1
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,Santa Clara, California,United States,,6951,1,188724641
AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,United States,9/23/2013,1037868,1,50816157.91
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,Beverly, Massachusetts,United States,7/1/2014,1004434,1,97321942.01
AMGN,Amgen Inc,reports,Health Care,Biotechnology,Thousand Oaks, California,United States,1/2/1992,318154,1,466863173.4
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota,United States,,820027,1,88541215.6
AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,Boston, Massachusetts,United States,11/19/2007,1053507,1,172057608
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington,United States,11/18/2005,1018724,1,3093438690
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,Fort Lauderdale, Florida,United States,,350698,1,25516926.05
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,Indianapolis, Indiana,United States,,1156039,1,156091093.3
AON,Aon plc,reports,Financials,Insurance Brokers,London,NA,United Kingdom,,315293,1,70743478.37
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,United States,,6769,1,142064903.2
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,The Woodlands, Texas,United States,,773910,1,170245802.3
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,Allentown, Pennsylvania,United States,4/30/1985,2969,1,104398943.1
APH,Amphenol Corp,reports,Information Technology,Electronic Components,Wallingford, Connecticut,United States,9/30/2008,820313,1,58914237.37
ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,New York, New York,United States,3/31/1964,4281,1,93701165.05
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,Santa Monica, California,United States,8/31/2015,718877,1,183817960.1
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,Arlington, Virginia,United States,1/10/2007,915912,1,133978540.5
AVGO,Broadcom,reports,Information Technology,Semiconductors,San Jose, California,United States,5/8/2014,1441634,0,449367027.2
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,Glendale, California,United States,12/31/1987,8818,1,41106788.59
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,Voorhees, New Jersey,United States,3/4/2016,1410636,1,56107944.78
AXP,American Express Co,reports,Financials,Consumer Finance,New York, New York,United States,6/30/1976,4962,1,250301510.8
AYI,Acuity Brands Inc,reports,Industrials,Electrical Components & Equipment,Atlanta, Georgia,United States,5/3/2016,1144215,1,89573680.39
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,Memphis, Tennessee,United States,,866787,1,194604250.6
BA,Boeing Company,reports,Industrials,Aerospace & Defense,Chicago, Illinois,United States,,12927,1,315672321.8
BAC,Bank of America Corp,reports,Financials,Banks,Charlotte, North Carolina,United States,6/30/1976,70858,1,1599180310
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,Deerfield, Illinois,United States,9/30/1972,10456,1,97836210
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,Union, New Jersey,United States,,886158,1,78183230.08
BBT,BB&T Corporation,reports,Financials,Banks,Winston-Salem, North Carolina,United States,,92230,1,163041850
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,Richfield, Minnesota,United States,,764478,1,158412367.6
BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment,Murray Hill, New Jersey,United States,6/30/1975,9892,1,108196257.9
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,Franklin Lakes, New Jersey,United States,9/30/1972,10795,1,149061222.7
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,San Mateo, California,United States,,38777,0,64709345.27
BF.B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,Louisville, Kentucky,United States,10/31/1982,14693,0,0
BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,United States,,808362,1,121669320.9
BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,Weston, Massachusetts,United States,,875045,1,372964398.9
BK,The Bank of New York Mellon Corp.,reports,Financials,Banks,New York, New York,United States,,1390777,1,170790689.6
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,New York, New York,United States,4/4/2011,1364742,0,195483402.6
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,Broomfield, Colorado,United States,10/31/1984,9389,1,61497344
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,New York, New York,United States,,14272,1,409600109
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,Omaha, Nebraska,United States,2/16/2010,1067983,0,0
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,Marlborough, Massachusetts,United States,,885725,1,92377399.73
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills, Michigan,United States,12/19/2011,908255,1,52218558.68
BXP,Boston Properties,reports,Real Estate,REITs,Boston, Massachusetts,United States,,1037540,1,99680649.21
C,Citigroup Inc.,reports,Financials,Banks,New York, New York,United States,5/31/1988,831001,1,985854555
CA,"CA, Inc.",reports,Information Technology,Systems Software,Islandia, New York,United States,7/31/1987,356028,0,55187667
CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,Omaha, Nebraska,United States,8/31/1983,23217,1,99717412.48
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,Dublin, Ohio,United States,,721371,1,116094808.6
CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Peoria, Illinois,United States,,18230,1,321919081.1
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,Zurich,NA,Switzerland,7/15/2010,896159,1,177238973.3
CBG,CBRE Group,reports,Real Estate,Real Estate Services,Los Angeles, California,United States,,1138118,1,41107046
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,New York, New York,United States,9/1/1994,813828,0,242493988.2
CCI,Crown Castle International Corp.,reports,Real Estate,REITs,Houston, Texas,United States,3/14/2012,1051470,1,140714904.1
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami, Florida,United States,,815097,1,120779202.3
CELG,Celgene Corp.,reports,Health Care,Biotechnology,Summit, New Jersey,United States,,816284,1,344935000
CERN,Cerner,reports,Health Care,Health Care Technology,North Kansas City, Missouri,United States,4/30/2010,804753,1,84328072.22
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,Deerfield, Illinois,United States,8/27/2008,1324404,1,131627324
CFG,Citizens Financial Group,reports,Financials,Regional Banks,Providence, Rhode Island,United States,1/29/2016,759944,1,120938912.4
CHD,Church & Dwight,reports,Consumer Staples,Household Products,Ewing, New Jersey,United States,12/29/2015,313927,1,105861561.6
CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,Oklahoma City, Oklahoma,United States,,895126,1,322469316
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,Eden Prairie, Minnesota,United States,,1043277,1,72461467.98
CHTR,Charter Communications,reports,Consumer Discretionary,Cable & Satellite,Stamford, Connecticut,United States,9/8/2016,1091667,1,382242609.3
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,Philadelphia, Pennsylvania,United States,6/30/1976,701221,1,160014642.8
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,Fairfield, Ohio,United States,,20286,1,35723700
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,New York, New York,United States,,21665,1,228470679
CLX,The Clorox Company,reports,Consumer Staples,Household Products,Oakland, California,United States,3/31/1969,21076,1,85298211.87
CMA,Comerica Inc.,reports,Financials,Regional Banks,Dallas, Texas,United States,,28412,1,70282710.03
CMCSA,Comcast A Corp,reports,Consumer Discretionary,Cable & Satellite,Philadelphia, Pennsylvania,United States,9/18/2015,1166691,0,841609056.6
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,Chicago, Illinois,United States,,1156375,1,103618903.2
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,Denver, Colorado,United States,4/28/2011,1058090,1,335097898.2
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,Columbus, Indiana,United States,3/31/1965,26172,1,164099666.6
CMS,CMS Energy,reports,Utilities,MultiUtilities,Jackson, Michigan,United States,,811156,1,69950732.32
CNC,Centene Corporation,reports,Health Care,Managed Health Care,St Louis, Missouri,United States,3/30/2016,1071739,1,70451014.51
CNP,CenterPoint Energy,reports,Utilities,MultiUtilities,Houston, Texas,United States,7/31/1985,1130310,1,50179357.96
COF,Capital One Financial,reports,Financials,Consumer Finance,Tysons Corner, Virginia,United States,,927628,1,211539547.2
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,United States,6/23/2008,858470,1,302070508.9
COH,Coach Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York,United States,,1116132,0,71405780
COL,Rockwell Collins,reports,Industrials,Industrial Conglomerates,Cedar Rapids, Iowa,United States,,1137411,1,78419305.69
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,Pleasanton, California,United States,9/23/2016,711404,1,73330653.07
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,United States,,1163165,0,240987877.2
COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,Issaquah, Washington,United States,10/1/1993,909832,1,235729954.5
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,New York, New York,United States,10/3/2016,1024305,0,66492761.37
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,Camden, New Jersey,United States,,16732,1,72836116.2
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,San Francisco, California,United States,9/15/2008,1108524,1,309336505.5
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,San Jose, California,United States,12/1/1993,858877,1,610141779.8
CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Other Services,Falls Church, Virginia,United States,12/1/2015,1646383,1,28156112
CSX,CSX Corp.,reports,Industrials,Railroads,Jacksonville, Florida,United States,9/30/1967,277948,1,195937069
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,Mason, Ohio,United States,,723254,1,80660878.6
CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,Monroe, Louisiana,United States,,18926,1,165009426.9
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,Teaneck, New Jersey,United States,,1058290,1,163669230.1
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,Fort Lauderdale, Florida,United States,,877890,1,60159214.65
CVS,CVS Health,reports,Consumer Staples,Drug Retail,Woonsocket, Rhode Island,United States,,64803,1,341372568.3
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,San Ramon, California,United States,,93410,1,590912834.9
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,Midland, Texas,United States,2/22/2016,1358071,1,137904006.2
D,Dominion Resources,reports,Utilities,Electric Utilities,Richmond, Virginia,United States,,715957,1,188380754.2
DAL,Delta Air Lines,reports,Industrials,Airlines,Atlanta, Georgia,United States,9/11/2013,27904,1,222653611.5
DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,Wilmington, Delaware,United States,,30554,1,185878165.1
DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Moline, Illinois,United States,,315189,1,184843457.8
DFS,Discover Financial Services,reports,Financials,Consumer Finance,Riverwoods, Illinois,United States,7/2/2007,1393612,1,131052403.7
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,Goodlettsville, Tennessee,United States,12/3/2012,29534,1,116304714
DGX,Quest Diagnostics,reports,Health Care,Health Care Facilities,Madison, New Jersey,United States,,1022079,1,67794631.48
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,Fort Worth, Texas,United States,,882184,1,85712346
DHR,Danaher Corp.,reports,Industrials,Industrial Conglomerates,Washington, D.C.,United States,,313616,1,156808671.9
DIS,The Walt Disney Company,reports,Consumer Discretionary,Broadcasting & Cable TV,Burbank, California,United States,6/30/1976,1001039,1,690926496.6
DISCA,Discovery Communications-A,reports,Consumer Discretionary,Cable & Satellite,Silver Spring, Maryland,United States,3/1/2010,1437107,1,43118671
DISCK,Discovery Communications-C,reports,Consumer Discretionary,Cable & Satellite,Silver Spring, Maryland,United States,8/7/2014,1437107,0,26713051
DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,Kent,NA,United Kingdom,12/24/2012,1521332,1,89029962.36
DLR,Digital Realty Trust,reports,Real Estate,Specialized REITs,San Francisco, California,United States,5/18/2016,1297996,1,127698698.6
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,Chesapeake, Virginia,United States,12/19/2011,935703,1,127678874
DNB,Dun & Bradstreet,reports,Industrials,Research & Consulting Services,Short Hills, New Jersey,United States,12/2/2008,1115222,1,12083472
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,Downers Grove, Illinois,United States,10/31/1985,29905,1,39173404
DOW,Dow Chemical,reports,Materials,Diversified Chemicals,Midland, Michigan,United States,,29915,0,281825670.9
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,Plano, Texas,United States,10/7/2008,1418135,1,66787520.53
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,Orlando, Florida,United States,,940944,1,105669433.5
DTE,DTE Energy Co.,reports,Utilities,MultiUtilities,Detroit, Michigan,United States,,936340,0,56278764.14
DUK,Duke Energy,reports,Utilities,Electric Utilities,Charlotte, North Carolina,United States,6/30/1976,1326160,1,191131495.4
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,Denver, Colorado,United States,7/31/2008,927066,1,46480797.83
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma,United States,,1090012,1,130803441.3
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,San Jose, California,United States,,1065088,1,243152201.2
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,St. Paul, Minnesota,United States,1/31/1989,31462,1,83835744.72
ED,Consolidated Edison,reports,Utilities,Electric Utilities,New York, New York,United States,,1047862,1,83921520
